#,Word,Count,Percent,Letters
987,suffer,3,0.00%,6
988,superficial,3,0.00%,11
989,supreme,3,0.00%,7
990,sweet,3,0.00%,5
991,tall,3,0.00%,4
992,tear,3,0.00%,4
993,temptations,3,0.00%,11
994,tent,3,0.00%,4
995,theocratic,3,0.00%,10
996,threats,3,0.00%,7
997,thrive,3,0.00%,6
998,tidings,3,0.00%,7
999,titus,3,0.00%,5
1000,tongue,3,0.00%,6
